# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\altera\13.0sp1\projects\zuckerberg\output_files\zuckberberg.csv
# Generated on: Wed Sep 02 01:56:07 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
clk,Unknown,PIN_R8,3,B3_N0,,,,,
colread[3],Unknown,PIN_B12,7,B7_N0,,,,,
colread[2],Unknown,PIN_D11,7,B7_N0,,,,,
colread[1],Unknown,PIN_B11,7,B7_N0,,,,,
colread[0],Unknown,PIN_E10,7,B7_N0,,,,,
data[3],Unknown,PIN_A11,7,B7_N0,,,,,
data[2],Unknown,PIN_B13,7,B7_N0,,,,,
data[1],Unknown,PIN_A13,7,B7_N0,,,,,
data[0],Unknown,PIN_A15,7,B7_N0,,,,,
display[6],Unknown,PIN_D5,8,B8_N0,,,,,
display[5],Unknown,PIN_A6,8,B8_N0,,,,,
display[4],Unknown,PIN_D6,8,B8_N0,,,,,
display[3],Unknown,PIN_C6,8,B8_N0,,,,,
display[2],Unknown,PIN_E6,8,B8_N0,,,,,
display[1],Unknown,PIN_D8,8,B8_N0,,,,,
display[0],Unknown,PIN_F8,8,B8_N0,,,,,
rowwrite[3],Unknown,PIN_B4,8,B8_N0,,,,,
rowwrite[2],Unknown,PIN_A3,8,B8_N0,,,,,
rowwrite[1],Unknown,PIN_C3,8,B8_N0,,,,,
rowwrite[0],Unknown,PIN_D3,8,B8_N0,,,,,
grounds[3],Unknown,PIN_D12,7,B7_N0,,,,,
grounds[2],Unknown,PIN_A12,7,B7_N0,,,,,
grounds[1],Unknown,PIN_C11,7,B7_N0,,,,,
grounds[0],Unknown,PIN_E11,7,B7_N0,,,,,
